"Type de structure";"Identifiant technique de la structure";"Identification nationale de la structure";"Numéro SIRET";"Numéro SIREN";"Numéro FINESS Etablissement";"Numéro FINESS EJ";"RPPS rang";"ADELI rang";"Numéro licence officine";"Date d'ouverture structure";"Date de fermeture structure";"Date de mise à jour structure";"Code APE";"Libellé APE";"Code catégorie juridique";"Libellé catégorie juridique";"Code secteur d'activité";"Libellé secteur d'activité";"Raison sociale";"Enseigne commerciale";
"EG";"R10000000596062";"410000749076004";"";"";"";"";"10000749076004";"";"";"09/05/1988";"";"29/12/2015";"";"";"70";"Personne Physique";"SA08";"Cabinet de groupe";"CABINET DU DR JEAN-LUC VALLET";"CABINET DU DR JEAN-LUC VALLET";
"EG";"R10000000534246";"410003773263001";"";"";"";"";"10003773263001";"";"";"06/07/2006";"";"08/01/2016";"";"";"70";"Personne Physique";"SA07";"Cabinet individuel";"CABINET DU DR MARC DURAND";"CABINET DU DR MARC DURAND";
"EG";"R10000000514618";"410000184340006";"";"";"";"";"10000184340006";"";"";"31/07/2008";"20/06/2014";"24/06/2014";"";"";"70";"Personne Physique";"SA08";"Cabinet de groupe";"CABINET DU DR CATHERINE SAVIGNAC-FOURESTIE";"CABINET DU DR CATHERINE SAVIGNAC-FOURESTIE";
"EG";"R10000000622280";"348534004600013";"48534004600013";"485340046";"";"";"";"";"";"17/11/2005";"20/12/2018";"31/12/2018";"";"";"85";"Soc. Exercice Libéral Responsabilité Limitée (S.E.L.A.R.L.)";"SA09";"Exercice en Société";"BOTTERO CHIRURGIE PLASTIQUE";"";
"EG";"R10000000560576";"410002791456001";"";"";"";"";"10002791456001";"";"";"01/10/2004";"";"06/05/2011";"";"";"70";"Personne Physique";"SA07";"Cabinet individuel";"CABINET DU DR BRIGITTE ODIEVRE";"";
"EG";"R10000000603455";"410002892353008";"";"";"";"";"10002892353008";"";"";"08/09/1998";"30/09/2015";"19/01/2016";"";"";"70";"Personne Physique";"SA07";"Cabinet individuel";"CABINET DU DR MICHEL ESPITALIER";"CABINET DU DR MICHEL ESPITALIER";
"EG";"R10000000558329";"410002068491004";"";"";"";"";"10002068491004";"";"";"31/08/2003";"29/02/2012";"19/01/2016";"";"";"70";"Personne Physique";"SA07";"Cabinet individuel";"CABINET DU DR REGIS FERNAGU";"CABINET DU DR REGIS FERNAGU";
"EG";"R10000000558978";"410003861662015";"";"";"";"";"10003861662015";"";"";"02/06/2008";"31/12/2010";"23/06/2011";"";"";"70";"Personne Physique";"SA07";"Cabinet individuel";"CABINET DU DR DILAVER ERBILGIN";"CABINET DU DR DILAVER ERBILGIN";
"EG";"R10000000591297";"410000340306008";"";"";"";"";"10000340306008";"";"";"01/07/1987";"";"06/05/2011";"";"";"70";"Personne Physique";"SA08";"Cabinet de groupe";"CABINET DU DR YVES SMADJA";"";
"EG";"R10000000617923";"410003747770008";"";"";"";"";"10003747770008";"";"";"28/05/2002";"";"15/12/2015";"";"";"70";"Personne Physique";"SA08";"Cabinet de groupe";"CABINET DU DR OLIVIER JOANNY-FLINOIS";"CABINET DU DR OLIVIER JOANNY-FLINOIS";